Attribute,Process,Commodity,Sector,Subsector,Technology,Fuel,Enduse,Unit,Parameters,FuelGroup
VAR_FOut,DARY-PH-MVR_PRE-WOD-Boiler,DARY-PH-MVR_PRE,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,PJ,End Use Demand,Renewables (direct use)
VAR_FOut,DARY-PH-MVR_TVR-COA-BLR15,DARY-PH-MVR_TVR,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-MVR_TVR-COA-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-MVR_TVR-NGA-BLR15,DARY-PH-MVR_TVR,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-MVR_TVR-NGA-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-MVR_TVR-NGA-Boiler,DARY-PH-MVR_TVR,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-MVR_TVR-NGA-Boiler,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-MVR_TVR-WOD-Boiler,DARY-PH-MVR_TVR,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,PJ,End Use Demand,Renewables (direct use)
VAR_FOut,DARY-PH-TVR_DRY-COA-BLR15,DARY-PH-TVR_DRY,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-TVR_DRY-COA-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-TVR_DRY-NGA-BLR15,DARY-PH-TVR_DRY,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-TVR_DRY-NGA-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-TVR_DRY-NGA-Boiler,DARY-PH-TVR_DRY,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-TVR_DRY-NGA-Boiler,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-TVR_DRY-WOD-Boiler,DARY-PH-TVR_DRY,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,PJ,End Use Demand,Renewables (direct use)
VAR_FOut,DARY-PH-TVR_EVP-COA-BLR15,DARY-PH-TVR_EVP,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-TVR_EVP-COA-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Coal,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-TVR_EVP-NGA-BLR15,DARY-PH-TVR_EVP,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-TVR_EVP-NGA-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-TVR_EVP-NGA-Boiler,DARY-PH-TVR_EVP,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-TVR_EVP-NGA-Boiler,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Natural Gas,Process Heat Evaporation/Drying,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-TVR_EVP-WOD-Boiler,DARY-PH-TVR_EVP,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Evaporation/Drying,PJ,End Use Demand,Renewables (direct use)
VAR_Cap,DARY-PH-STM_HW-WOD-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Steam/Hot Water,GW,Technology Capacity,Renewables (direct use)
VAR_Cap,DARY-PH-STM_HW-LPG-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,LPG,Process Heat Steam/Hot Water,GW,Technology Capacity,Fossil Fuels
VAR_Cap,DARY-PH-STM_HW-ELC-Boiler,-,Industry,Dairy Product Manufacturing,Boiler,Electricity,Process Heat Steam/Hot Water,GW,Technology Capacity,Electricity
VAR_Cap,DARY-PH-STM_HW-DSL-BLR15,-,Industry,Dairy Product Manufacturing,Boiler,Diesel,Process Heat Steam/Hot Water,GW,Technology Capacity,Fossil Fuels
VAR_FIn,DARY-PH-STM_HW-DSL-BLR15,INDDSL,Industry,Dairy Product Manufacturing,Boiler,Diesel,Process Heat Steam/Hot Water,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-STM_HW-ELC-Boiler,INDELC,Industry,Dairy Product Manufacturing,Boiler,Electricity,Process Heat Steam/Hot Water,PJ,Fuel Consumption,Electricity
VAR_FIn,DARY-PH-STM_HW-LPG-BLR15,INDLPG,Industry,Dairy Product Manufacturing,Boiler,LPG,Process Heat Steam/Hot Water,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,DARY-PH-STM_HW-WOD-Boiler,INDWOD,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Steam/Hot Water,PJ,Fuel Consumption,Renewables (direct use)
VAR_FOut,DARY-PH-STM_HW-DSL-BLR15,DARY-PH-STM_HW,Industry,Dairy Product Manufacturing,Boiler,Diesel,Process Heat Steam/Hot Water,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-STM_HW-DSL-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,Diesel,Process Heat Steam/Hot Water,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-STM_HW-ELC-Boiler,DARY-PH-STM_HW,Industry,Dairy Product Manufacturing,Boiler,Electricity,Process Heat Steam/Hot Water,PJ,End Use Demand,Electricity
VAR_FOut,DARY-PH-STM_HW-LPG-BLR15,DARY-PH-STM_HW,Industry,Dairy Product Manufacturing,Boiler,LPG,Process Heat Steam/Hot Water,PJ,End Use Demand,Fossil Fuels
VAR_FOut,DARY-PH-STM_HW-LPG-BLR15,INDCO2,Industry,Dairy Product Manufacturing,Boiler,LPG,Process Heat Steam/Hot Water,kt CO2,Emissions,Fossil Fuels
VAR_FOut,DARY-PH-STM_HW-WOD-Boiler,DARY-PH-STM_HW,Industry,Dairy Product Manufacturing,Boiler,Wood,Process Heat Steam/Hot Water,PJ,End Use Demand,Renewables (direct use)
VAR_Cap,C_EDU-SH_Boiler-NGA00,-,Commercial,Education,Boiler,Natural Gas,Space Heating,GW,Technology Capacity,Fossil Fuels
VAR_Cap,C_EDU-SH_Boiler-FOL00,-,Commercial,Education,Boiler,Fuel Oil,Space Heating,GW,Technology Capacity,Fossil Fuels
VAR_Cap,C_EDU-SH_Boiler-ELC,-,Commercial,Education,Boiler,Electricity,Space Heating,GW,Technology Capacity,Electricity
VAR_Cap,C_EDU-SH_Boiler-DSL00,-,Commercial,Education,Boiler,Diesel,Space Heating,GW,Technology Capacity,Fossil Fuels
VAR_Cap,C_EDU-SH_Boiler-COA00,-,Commercial,Education,Boiler,Coal,Space Heating,GW,Technology Capacity,Fossil Fuels
VAR_FIn,C_EDU-SH_Boiler-COA00,COMCOA,Commercial,Education,Boiler,Coal,Space Heating,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,C_EDU-SH_Boiler-DSL00,COMDSL,Commercial,Education,Boiler,Diesel,Space Heating,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,C_EDU-SH_Boiler-ELC,COMELC,Commercial,Education,Boiler,Electricity,Space Heating,PJ,Fuel Consumption,Electricity
VAR_FIn,C_EDU-SH_Boiler-FOL00,COMFOL,Commercial,Education,Boiler,Fuel Oil,Space Heating,PJ,Fuel Consumption,Fossil Fuels
VAR_FIn,C_EDU-SH_Boiler-NGA00,COMNGA,Commercial,Education,Boiler,Natural Gas,Space Heating,PJ,Fuel Consumption,Fossil Fuels
VAR_FOut,C_EDU-SH_Boiler-COA00,C_EDU-SH,Commercial,Education,Boiler,Coal,Space Heating,PJ,End Use Demand,Fossil Fuels
VAR_FOut,C_EDU-SH_Boiler-COA00,COMCO2,Commercial,Education,Boiler,Coal,Space Heating,kt CO2,Emissions,Fossil Fuels
VAR_FOut,C_EDU-SH_Boiler-DSL00,C_EDU-SH,Commercial,Education,Boiler,Diesel,Space Heating,PJ,End Use Demand,Fossil Fuels
VAR_FOut,C_EDU-SH_Boiler-DSL00,COMCO2,Commercial,Education,Boiler,Diesel,Space Heating,kt CO2,Emissions,Fossil Fuels
VAR_FOut,C_EDU-SH_Boiler-ELC,C_EDU-SH,Commercial,Education,Boiler,Electricity,Space Heating,PJ,End Use Demand,Electricity
VAR_FOut,C_EDU-SH_Boiler-FOL00,C_EDU-SH,Commercial,Education,Boiler,Fuel Oil,Space Heating,PJ,End Use Demand,Fossil Fuels
VAR_FOut,C_EDU-SH_Boiler-FOL00,COMCO2,Commercial,Education,Boiler,Fuel Oil,Space Heating,kt CO2,Emissions,Fossil Fuels
VAR_FOut,C_EDU-SH_Boiler-NGA00,C_EDU-SH,Commercial,Education,Boiler,Natural Gas,Space Heating,PJ,End Use Demand,Fossil Fuels
VAR_FOut,C_EDU-SH_Boiler-NGA00,COMCO2,Commercial,Education,Boiler,Natural Gas,Space Heating,kt CO2,Emissions,Fossil Fuels
VAR_Cap,C_EDU-WH_Boiler-COA00,-,Commercial,Education,Boiler,Coal,Water Heating,GW,Technology Capacity,Fossil Fuels
VAR_FIn,C_EDU-WH_Boiler-COA00,COMCOA,Commercial,Education,Boiler,Coal,Water Heating,PJ,Fuel Consumption,Fossil Fuels
VAR_FOut,C_EDU-WH_Boiler-COA00,C_EDU-WH,Commercial,Education,Boiler,Coal,Water Heating,PJ,End Use Demand,Fossil Fuels
VAR_FOut,C_EDU-WH_Boiler-COA00,COMCO2,Commercial,Education,Boiler,Coal,Water Heating,kt CO2,Emissions,Fossil Fuels
VAR_Cap,C_HLTH-PH_Boiler-NGA00,-,Commercial,Healthcare,Boiler,Natural Gas,Process Heat,GW,Technology Capacity,Fossil Fuels
VAR_Cap,C_HLTH-PH_Boiler-H2R,-,Commercial,Healthcare,Boiler,Green Hydrogen,Process Heat,GW,Technology Capacity,Electricity
VAR_FIn,C_HLTH-PH_Boiler-H2R,COMH2R,Commercial,Healthcare,Boiler,Green Hydrogen,Process Heat,PJ,Fuel Consumption,Electricity
VAR_FIn,C_HLTH-PH_Boiler-NGA00,COMNGA,Commercial,Healthcare,Boiler,Natural Gas,Process Heat,PJ,Fuel Consumption,Fossil Fuels
VAR_FOut,C_HLTH-PH_Boiler-H2R,C_HLTH-PH,Commercial,Healthcare,Boiler,Green Hydrogen,Process Heat,PJ,End Use Demand,Electricity
VAR_FOut,C_HLTH-PH_Boiler-NGA00,C_HLTH-PH,Commercial,Healthcare,Boiler,Natural Gas,Process Heat,PJ,End Use Demand,Fossil Fuels
VAR_FOut,C_HLTH-PH_Boiler-NGA00,COMCO2,Commercial,Healthcare,Boiler,Natural Gas,Process Heat,kt CO2,Emissions,Fossil Fuels
