Scenario,Region,Sector,Set,Name,Description,Activity unit,Capacity unit,Type,Sub type,Primary commodity group,Time slice level,Vintage
NewTech_ELC_TUI,SI,ELC,.MIN.IRE.,CCS_Store2,-:-  -:-  -:-  -:-,KT,KTA,IRE,-,CCS_Store2_NRGO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-IRG-Irg-ELC,Agriculture -:- Dairy Cattle Farming -:- Irrigation -:- Irrigator -:- Electricity,PJ,GW,DMD,-,ADCF-IRG-Irg-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-IRG-Irg-ELC,Agriculture -:- Dairy Cattle Farming -:- Irrigation -:- Irrigator -:- Electricity,PJ,GW,DMD,-,ADCF-IRG-Irg-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-IRG-IrgVSD-ELC,Agriculture -:- Dairy Cattle Farming -:- Irrigation -:- Irrigator with VSD -:- Electricity,PJ,GW,DMD,-,ADCF-IRG-IrgVSD-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-IRG-IrgVSD-ELC,Agriculture -:- Dairy Cattle Farming -:- Irrigation -:- Irrigator with VSD -:- Electricity,PJ,GW,DMD,-,ADCF-IRG-IrgVSD-ELC_DEMO,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-LIG--ELC,Agriculture -:- Dairy Cattle Farming -:- Lighting -:- Lights (General) -:- Electricity,PJ,GW,DMD,-,ADCF-LIG--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-LIG--ELC,Agriculture -:- Dairy Cattle Farming -:- Lighting -:- Lights (General) -:- Electricity,PJ,GW,DMD,-,ADCF-LIG--ELC_DEMO,ANNUAL,0.0
BASE,NI,OTH,.DMD.,C_EDU-SH_Burner-NGA00,Commercial -:- Education -:- Space Heating -:- Burner -:- Natural Gas,PJ,GW,DMD,-,C_EDU-SH,ANNUAL,0.0
NewTech_AGR_KEA,NI,OTH,.DMD.,ADCF-MoTP-Mob-Bike--ELC,Agriculture -:- Dairy Cattle Farming -:- Off-road Motorbike Use -:- Farm Bike -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Bike--ELC_DEMO,ANNUAL,0.0
NewTech_AGR_TUI,NI,OTH,.DMD.,ADCF-MoTP-Mob-Bike--ELC,Agriculture -:- Dairy Cattle Farming -:- Off-road Motorbike Use -:- Farm Bike -:- Electricity,PJ,GW,DMD,-,ADCF-MoTP-Mob-Bike--ELC_DEMO,ANNUAL,0.0
