Scenario,Region,Sector,Set,Name,Description,Unit,Type,Sub type,Lim type,Time slice level,Peak time slice
BASE,NI,OTH,.NRG.,COMPLT,Commercial -:-  -:- Pellet -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.NRG.,COMWOD,Commercial -:-  -:- Wood -:-,PJ,NRG,,FX,,
BASE,NI,OTH,.DEM.,C_EDU-LT,Commercial -:- Education -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_EDU-MPM,"Commercial -:- Education -:-  -:- Motive Power, Mobile",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_EDU-MPS,"Commercial -:- Education -:-  -:- Motive Power, Stationary",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_EDU-OTH,Commercial -:- Education -:-  -:- Electronics and Other Appliances,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_EDU-RF,Commercial -:- Education -:-  -:- Refrigeration,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_EDU-SC,Commercial -:- Education -:-  -:- Space Cooling,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_EDU-SH,Commercial -:- Education -:-  -:- Space Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_EDU-WH,Commercial -:- Education -:-  -:- Water Heating,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_HLTH-LT,Commercial -:- Healthcare -:-  -:- Lighting,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_HLTH-MPM,"Commercial -:- Healthcare -:-  -:- Motive Power, Mobile",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_HLTH-MPS,"Commercial -:- Healthcare -:-  -:- Motive Power, Stationary",PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_HLTH-OTH,Commercial -:- Healthcare -:-  -:- Electronics and Other Appliances,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_HLTH-PH,Commercial -:- Healthcare -:-  -:- Process Heat,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_HLTH-RF,Commercial -:- Healthcare -:-  -:- Refrigeration,PJ,DEM,,,,
BASE,NI,OTH,.DEM.,C_HLTH-SC,Commercial -:- Healthcare -:-  -:- Space Cooling,PJ,DEM,,,,
