"Scenario","Sector","Subsector","Technology","Enduse","Unit","Parameters","Fuel","Period","FuelGroup","Technology_Group","Value"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2045","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2050","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2055","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Hot Water Cylinder","Water Heating","PJ","Fuel Consumption","Electricity","2060","Electricity","Heating/Cooling","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2018","Electricity","Stationary Motive Power","0.774872"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2025","Electricity","Stationary Motive Power","0.504337"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2030","Electricity","Stationary Motive Power","0.310361"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2035","Electricity","Stationary Motive Power","0.116386"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2040","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2045","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2050","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2055","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","End Use Demand","Electricity","2060","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2018","Electricity","Stationary Motive Power","1.106959"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2025","Electricity","Stationary Motive Power","0.720482"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2030","Electricity","Stationary Motive Power","0.443373"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2035","Electricity","Stationary Motive Power","0.166265"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2040","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2045","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2050","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2055","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator","Irrigation","PJ","Fuel Consumption","Electricity","2060","Electricity","Stationary Motive Power","0.000000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2018","Electricity","Stationary Motive Power","0.307128"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2025","Electricity","Stationary Motive Power","0.457933"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2030","Electricity","Stationary Motive Power","0.575375"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2035","Electricity","Stationary Motive Power","0.696107"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2040","Electricity","Stationary Motive Power","0.742748"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2045","Electricity","Stationary Motive Power","0.678991"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2050","Electricity","Stationary Motive Power","0.620706"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2055","Electricity","Stationary Motive Power","0.567424"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","End Use Demand","Electricity","2060","Electricity","Stationary Motive Power","0.518716"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","Fuel Consumption","Electricity","2018","Electricity","Stationary Motive Power","0.369478"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","Fuel Consumption","Electricity","2025","Electricity","Stationary Motive Power","0.551365"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","Fuel Consumption","Electricity","2030","Electricity","Stationary Motive Power","0.693000"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","Fuel Consumption","Electricity","2035","Electricity","Stationary Motive Power","0.838600"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","Fuel Consumption","Electricity","2040","Electricity","Stationary Motive Power","0.894877"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","Fuel Consumption","Electricity","2045","Electricity","Stationary Motive Power","0.818061"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","Fuel Consumption","Electricity","2050","Electricity","Stationary Motive Power","0.747838"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","Fuel Consumption","Electricity","2055","Electricity","Stationary Motive Power","0.683644"
"Kea","Agriculture","Dairy Cattle Farming","Irrigator with VSD","Irrigation","PJ","Fuel Consumption","Electricity","2060","Electricity","Stationary Motive Power","0.624959"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","End Use Demand","Electricity","2018","Electricity","Electronics and Lighting","0.011000"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","End Use Demand","Electricity","2025","Electricity","Electronics and Lighting","0.011263"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","End Use Demand","Electricity","2030","Electricity","Electronics and Lighting","0.010904"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","End Use Demand","Electricity","2035","Electricity","Electronics and Lighting","0.010521"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","End Use Demand","Electricity","2040","Electricity","Electronics and Lighting","0.010116"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","End Use Demand","Electricity","2045","Electricity","Electronics and Lighting","0.009726"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","End Use Demand","Electricity","2050","Electricity","Electronics and Lighting","0.009352"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","End Use Demand","Electricity","2055","Electricity","Electronics and Lighting","0.008992"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","End Use Demand","Electricity","2060","Electricity","Electronics and Lighting","0.008646"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","Fuel Consumption","Electricity","2018","Electricity","Electronics and Lighting","0.045833"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","Fuel Consumption","Electricity","2025","Electricity","Electronics and Lighting","0.025029"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","Fuel Consumption","Electricity","2030","Electricity","Electronics and Lighting","0.024231"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","Fuel Consumption","Electricity","2035","Electricity","Electronics and Lighting","0.023379"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","Fuel Consumption","Electricity","2040","Electricity","Electronics and Lighting","0.022479"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","Fuel Consumption","Electricity","2045","Electricity","Electronics and Lighting","0.021614"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","Fuel Consumption","Electricity","2050","Electricity","Electronics and Lighting","0.020782"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","Fuel Consumption","Electricity","2055","Electricity","Electronics and Lighting","0.019983"
"Kea","Agriculture","Dairy Cattle Farming","Lights (General)","Lighting","PJ","Fuel Consumption","Electricity","2060","Electricity","Electronics and Lighting","0.019214"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","End Use Demand","Electricity","2018","Electricity","Heating/Cooling","1.541913"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","End Use Demand","Electricity","2025","Electricity","Heating/Cooling","2.240833"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","End Use Demand","Electricity","2030","Electricity","Heating/Cooling","2.748396"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","End Use Demand","Electricity","2035","Electricity","Heating/Cooling","3.004870"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","End Use Demand","Electricity","2040","Electricity","Heating/Cooling","2.889229"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","End Use Demand","Electricity","2045","Electricity","Heating/Cooling","2.778039"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","End Use Demand","Electricity","2050","Electricity","Heating/Cooling","2.671127"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","End Use Demand","Electricity","2055","Electricity","Heating/Cooling","2.568331"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","End Use Demand","Electricity","2060","Electricity","Heating/Cooling","2.469490"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","Fuel Consumption","Electricity","2018","Electricity","Heating/Cooling","0.522400"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","Fuel Consumption","Electricity","2025","Electricity","Heating/Cooling","0.759454"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","Fuel Consumption","Electricity","2030","Electricity","Heating/Cooling","0.931603"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","Fuel Consumption","Electricity","2035","Electricity","Heating/Cooling","1.018600"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","Fuel Consumption","Electricity","2040","Electricity","Heating/Cooling","0.979400"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","Fuel Consumption","Electricity","2045","Electricity","Heating/Cooling","0.941708"
"Kea","Agriculture","Dairy Cattle Farming","Refrigerator","Refrigeration","PJ","Fuel Consumption","Electricity","2050","Electricity","Heating/Cooling","0.905467"
