Attribute,Process,Commodity,Sector,Subsector,Technology,Fuel,Enduse,Unit,Parameters,FuelGroup
VAR_Cap,CHMCL-MoTP-Stat-NGA-Pump,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Stationary Motor,Natural Gas,"Motive Power, Stationary",GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-MoTP-Stat-NGA-Pump15,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Pump,Natural Gas,"Motive Power, Stationary",GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-MoTP-Stat-PET-st_ngn,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Stationary Motor,Petrol,"Motive Power, Stationary",GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-DirH-ELC-Heater,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Heater,Electricity,Process Heat Direct,GW,Technology Capacity,Electricity
VAR_Cap,CHMCL-PH-DirH-ELC-Heater15,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Heater,Electricity,Process Heat Direct,GW,Technology Capacity,Electricity
VAR_Cap,CHMCL-PH-DirH-NGA-Burner,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Burner,Natural Gas,Process Heat Direct,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-DirH-NGA-Burner15,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Burner,Natural Gas,Process Heat Direct,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-FURN-COA-Furn,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Furnace,Coal,Process Heat Furnace,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-FURN-ELC-Furn,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Furnace,Electricity,Process Heat Furnace,GW,Technology Capacity,Electricity
VAR_Cap,CHMCL-PH-FURN-FOL-Furn,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Furnace,Fuel Oil,Process Heat Furnace,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-FURN-FOL-Furn15,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Furnace,Fuel Oil,Process Heat Furnace,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-FURN-LPG-Furn,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Furnace,LPG,Process Heat Furnace,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-FURN-NGA-Furn,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Furnace,Natural Gas,Process Heat Furnace,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-FURN-NGA-Furn15,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Furnace,Natural Gas,Process Heat Furnace,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-FURN-WOD-Furn,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Furnace,Wood,Process Heat Furnace,GW,Technology Capacity,Renewables (direct use)
VAR_Cap,CHMCL-PH-REFRM-NGA-REFRM,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Reformer,Natural Gas,Process Heat Reforming,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-REFRM-NGA-REFRM15,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Reformer,Natural Gas,Process Heat Reforming,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-STM_HW-COA-Boiler,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Boiler,Coal,Process Heat Steam/Hot Water,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-STM_HW-DSL-Boiler,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Boiler,Diesel,Process Heat Steam/Hot Water,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-STM_HW-ELC-Boiler,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Boiler,Electricity,Process Heat Steam/Hot Water,GW,Technology Capacity,Electricity
VAR_Cap,CHMCL-PH-STM_HW-ELC-HPmp,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Heat Pump,Electricity,Process Heat Steam/Hot Water,GW,Technology Capacity,Electricity
VAR_Cap,CHMCL-PH-STM_HW-FOL-BLR15,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Boiler,Fuel Oil,Process Heat Steam/Hot Water,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-STM_HW-FOL-Boiler,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Boiler,Fuel Oil,Process Heat Steam/Hot Water,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-STM_HW-LPG-Boiler,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Boiler,LPG,Process Heat Steam/Hot Water,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-STM_HW-NGA-BLR15,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Boiler,Natural Gas,Process Heat Steam/Hot Water,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-STM_HW-NGA-Boiler,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Boiler,Natural Gas,Process Heat Steam/Hot Water,GW,Technology Capacity,Fossil Fuels
VAR_Cap,CHMCL-PH-STM_HW-WOD-Boiler,-,Industry,"Petroleum, Basic Chemical and Rubber Product Manufacturing",Boiler,Wood,Process Heat Steam/Hot Water,GW,Technology Capacity,Renewables (direct use)
VAR_Cap,CNST-MoTP-Mob-DSL-ICE_Off15,-,Industry,Construction,Internal Combustion Engine,Diesel,"Motive Power, Mobile",GW,Technology Capacity,Fossil Fuels
VAR_Cap,CNST-MoTP-Mob-DSL-ICE_ofrd,-,Industry,Construction,Internal Combustion Engine,Diesel,"Motive Power, Mobile",GW,Technology Capacity,Fossil Fuels
VAR_Cap,CNST-MoTP-Mob-LPG-ICE_ofrd,-,Industry,Construction,Internal Combustion Engine,LPG,"Motive Power, Mobile",GW,Technology Capacity,Fossil Fuels
VAR_Cap,CNST-MoTP-Mob-NGA-ICE_Off15,-,Industry,Construction,Internal Combustion Engine,Natural Gas,"Motive Power, Mobile",GW,Technology Capacity,Fossil Fuels
VAR_Cap,CNST-MoTP-Mob-NGA-ICE_ofrd,-,Industry,Construction,Internal Combustion Engine,Natural Gas,"Motive Power, Mobile",GW,Technology Capacity,Fossil Fuels
VAR_Cap,CNST-MoTP-Mob-PET-ICE_ofrd,-,Industry,Construction,Internal Combustion Engine,Petrol,"Motive Power, Mobile",GW,Technology Capacity,Fossil Fuels
