Scenario,Island,Subsector,Fuel Code,Fuel,2015,2016,2018,2021,2025,2030,2035,2040,2045,2050,2055,2060
Kea,NI,MEAT PROCESSING,INDWOD,Wood,0.035294118,0.033764706,0.030705882,0,0,0,0.170928376,0.170928376,1.160971652,1.160971652,1.160971652,0.990043276
Kea,NI,MEAT PROCESSING,INDFOL,Fuel Oil,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MEAT PROCESSING,INDELC,Electricity,1.940749741,1.915934926,1.915934926,1.866361212,1.683114815,1.621966667,1.74667037,1.881074074,2.198900914,2.389437951,2.625577489,2.868990236
Kea,NI,MEAT PROCESSING,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MEAT PROCESSING,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MEAT PROCESSING,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METALS,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METALS,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METALS,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METALS,INDCOA,Coal,0,0,0,0,0.065048571,0.062682857,0,0,0.079431429,0.086798571,0.094847143,0.103641429
Kea,NI,METALS,INDNGA,Natural Gas,1.9625,1.963333333,1.965,2.007625,1.4223675,1.3706225,1.535,1.653045,1.7368525,1.467585,1.60367,1.752435
Kea,NI,METALS,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METALS,INDWOD,Wood,0,0,0,0,0.520388571,0.501462857,0.54,0.58152,0.635451429,0.694388571,0.758777143,0.829131429
Kea,NI,METALS,INDFOL,Fuel Oil,0.05,0.048916667,0.052375,0,0,0,0,0,0,0,0,0
Kea,NI,METALS,INDELC,Electricity,1.51212963,1.50237963,1.49725463,1.400611111,1.206140741,1.162414815,1.251722222,1.347933333,1.473025926,2.039887361,2.228980046,2.435736898
Kea,NI,METALS,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METALS,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METALS,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METHANOL,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METHANOL,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METHANOL,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METHANOL,INDCOA,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METHANOL,INDNGA,Natural Gas,16.46,16.46,16.46,16.4618,16.4618,16.4618,0,0,0,0,0,0
Kea,NI,METHANOL,NGA,Natural Gas Feedstock,41.07,41.06,41.06,41.0689,41.0689,41.0689,0,0,0,0,0,0
Kea,NI,METHANOL,INDWOD,Wood,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METHANOL,INDFOL,Fuel Oil,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METHANOL,INDELC,Electricity,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METHANOL,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METHANOL,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,METHANOL,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINERAL,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINERAL,INDBIG,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINERAL,INDDSL,Diesel,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINERAL,INDCOA,Coal,2.957142857,2.954952381,2.950571429,3.126478571,3.13181,3.13181,0,0,0.241733539,0.25857,0.282548571,0.308747143
Kea,NI,MINERAL,INDNGA,Natural Gas,2.194252874,2.19591954,2.199252874,2.386990733,1.269155733,1.390850733,4.397372512,4.785075041,4.413203214,4.301861724,4.779143908,5.222272299
Kea,NI,MINERAL,NGA,Natural Gas Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINERAL,INDWOD,Wood,0.6,0.597714286,0.593142857,0.593142857,2.058933782,2.119206723,2.330056706,2.453759563,2.970650809,2.757101176,2.932576807,3.204471261
Kea,NI,MINERAL,INDFOL,Fuel Oil,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINERAL,INDELC,Electricity,0.94537037,0.920305556,0.924805556,0.787259259,0.709722222,0.731240741,0.7875,0.848037037,1.242225707,2.294613287,2.507358889,2.739926806
Kea,NI,MINERAL,INDPET,Petrol,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINERAL,INDLPG,LPG,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINERAL,INDGEO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Kea,NI,MINING,COA,Coal Feedstock,0,0,0,0,0,0,0,0,0,0,0,0
