Scenario,Region,Sector,Set,Name,Description,Activity unit,Capacity unit,Type,Sub type,Primary commodity group,Time slice level,Vintage
NewTech_ELC_TUI,NI,ELC,.ELE.STG.,EBATUTIFLOW,Electricity -:- Electricity Storage -:- Flow Battery -:- Electricity,PJ,GW,ELE,STG,EBATUTIFLOW_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,NI,ELC,.ELE.STG.,EBATUTIFLOW,Electricity -:- Electricity Storage -:- Flow Battery -:- Electricity,PJ,GW,ELE,STG,EBATUTIFLOW_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,NI,ELC,.ELE.STG.,EBATUTILION,Electricity -:- Electricity Storage -:- Lithium Ion Battery  -:- Electricity,PJ,GW,ELE,STG,EBATUTILION_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,NI,ELC,.ELE.STG.,EBATUTILION,Electricity -:- Electricity Storage -:- Lithium Ion Battery  -:- Electricity,PJ,GW,ELE,STG,EBATUTILION_NRGO,DAYNITE,1.0
NewTech_ELC_TUI,NI,ELC,.ELE.STG.,EHYDPUMPSTG_L,Electricity -:- Electricity Storage -:- Large Pumped Storage -:- Hydro,PJ,GW,ELE,STG,EHYDPUMPSTG_L_NRGO,SEASON,1.0
NewTech_ELC_KEA,NI,ELC,.ELE.STG.,EHYDPUMPSTG_L,Electricity -:- Electricity Storage -:- Large Pumped Storage -:- Hydro,PJ,GW,ELE,STG,EHYDPUMPSTG_L_NRGO,SEASON,1.0
NewTech_ELC_TUI,NI,ELC,.ELE.STG.,EHYDPUMPSTG_S,Electricity -:- Electricity Storage -:- Small Pumped Storage -:- Hydro,PJ,GW,ELE,STG,EHYDPUMPSTG_S_NRGO,DAYNITE,1.0
NewTech_ELC_KEA,NI,ELC,.ELE.STG.,EHYDPUMPSTG_S,Electricity -:- Electricity Storage -:- Small Pumped Storage -:- Hydro,PJ,GW,ELE,STG,EHYDPUMPSTG_S_NRGO,DAYNITE,1.0
BASE,NI,IND,.PRE.,FTE-INDNGA_00,Industry -:-  -:-  -:- Natural Gas,PJ,PJA,PRE,-,INDNGA,ANNUAL,0.0
BASE,NI,IND,.PRE.,FTE-INDPET_00,Industry -:-  -:-  -:- Petrol,PJ,PJA,PRE,-,INDPET,ANNUAL,0.0
BASE,NI,TRA,.DMD.,T_C_CICELPG15,Transport -:- Road Transport -:- Internal Combustion Engine -:- LPG,BVKM,000CARS,DMD,-,T_C_Car,ANNUAL,0.0
NewTech_ELC_TUI,SI,ELC,.ELE.,EBIG20,Electricity -:- Biogas -:- Biogas 2018 -:- Biogas,PJ,GW,ELE,-,EBIG20_NRGO,DAYNITE,1.0
