Scenario,Region,Sector,Set,Name,Description,Unit,Type,Sub type,Lim type,Time slice level,Peak time slice
BASE,SI,ELC,.NRG.,ELC,-:- Electricity Production,PJ,NRG,ELC,,DAYNITE,
BASE,SI,ELC,.NRG.,ELC-HV,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,SI,ELC,.NRG.,ELC-MV,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,SI,ELC,.NRG.,ELCBIG,Biogas -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,ELCBIL,Liquid Biofuels -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.ENV.,ELCCO2,-:- Electricity Production,kt,ENV,,,ANNUAL,
BASE,SI,ELC,.NRG.,ELCCOA,Coal -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,ELCCOL,Coal -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,ELCD,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,SI,ELC,.NRG.,ELCDD,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,SI,ELC,.NRG.,ELCGEO,Geothermal -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,ELCHYD,Hydro -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,ELCNGA,Natural Gas -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,ELCOIL,Oil -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,ELCSOL,Solar -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,ELCTID,Tidal -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,ELCWIN,Wind -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,ELCWOD,Wood -:- Electricity Production,PJ,NRG,,,DAYNITE,
BASE,SI,ELC,.NRG.,INDELC,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,SI,ELC,.NRG.,RESELC,-:- Electricity Production,PJ,NRG,ELC,FX,DAYNITE,
BASE,SI,IND,.DEM.,ALU-PH-FURN,-:- Process Heat Furnace,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,CHMCL-MoTP-Stat,"-:- Motive Power, Stationary",PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,CHMCL-PH-DirH,-:- Process Heat Direct,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,CHMCL-PH-FURN,-:- Process Heat Furnace,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,CHMCL-PH-REFRM,-:- Process Heat Reforming,PJ,DEM,,,DAYNITE,
BASE,SI,IND,.DEM.,CHMCL-PH-STM_HW,-:- Process Heat Steam/Hot Water,PJ,DEM,,,DAYNITE,
