Scenario,Region,Sector,Process,Name,Description,Member
BASE,NI,IND,FOOD-PH-DirH-ELC-Heater15,FOOD-PH-DirH-ELC-Heater15_DEMO,-,FOOD-PH-DirH
BASE,NI,IND,FOOD-PH-DirH-ELC-Heater15,FOOD-PH-DirH-ELC-Heater15_NRGI,-,INDELC
BASE,NI,IND,FOOD-PH-OVN-COA-Oven15,FOOD-PH-OVN-COA-Oven15_DEMO,-,FOOD-PH-OVN
BASE,NI,IND,FOOD-PH-OVN-COA-Oven15,FOOD-PH-OVN-COA-Oven15_NRGI,-,INDCOA
BASE,NI,IND,FOOD-PH-OVN-ELC-Oven15,FOOD-PH-OVN-ELC-Oven15_DEMO,-,FOOD-PH-OVN
BASE,NI,IND,FOOD-PH-OVN-ELC-Oven15,FOOD-PH-OVN-ELC-Oven15_NRGI,-,INDELC
BASE,NI,IND,FOOD-PH-OVN-NGA-Oven15,FOOD-PH-OVN-NGA-Oven15_DEMO,-,FOOD-PH-OVN
BASE,NI,IND,FOOD-PH-OVN-NGA-Oven15,FOOD-PH-OVN-NGA-Oven15_NRGI,-,INDNGA
BASE,NI,IND,FOOD-PH-STM_HW-COA-BLR15,FOOD-PH-STM_HW-COA-BLR15_DEMO,-,FOOD-PH-STM_HW
BASE,NI,IND,FOOD-PH-STM_HW-COA-BLR15,FOOD-PH-STM_HW-COA-BLR15_NRGI,-,INDCOA
BASE,NI,IND,FOOD-PH-STM_HW-NGA-BLR15,FOOD-PH-STM_HW-NGA-BLR15_DEMO,-,FOOD-PH-STM_HW
BASE,NI,IND,FOOD-PH-STM_HW-NGA-BLR15,FOOD-PH-STM_HW-NGA-BLR15_NRGI,-,INDNGA
BASE,NI,IND,FOOD-Pump-ELC-Pump15,FOOD-Pump-ELC-Pump15_DEMO,-,FOOD-Pump
BASE,NI,IND,FOOD-Pump-ELC-Pump15,FOOD-Pump-ELC-Pump15_NRGI,-,INDELC
BASE,NI,IND,FOOD-RFGR-ELC-Refriger15,FOOD-RFGR-ELC-Refriger15_DEMO,-,FOOD-RFGR
BASE,NI,IND,FOOD-RFGR-ELC-Refriger15,FOOD-RFGR-ELC-Refriger15_NRGI,-,INDELC
BASE,NI,IND,FTE-INDBIG_00,FTE-INDBIG_00_NRGI,-,BIG
BASE,NI,IND,FTE-INDBIG_00,FTE-INDBIG_00_NRGO,-,INDBIG
BASE,NI,IND,FTE-INDCOA_00,FTE-INDCOA_00_NRGI,-,COA
BASE,NI,IND,FTE-INDCOA_00,FTE-INDCOA_00_NRGI,-,COL
BASE,NI,IND,FTE-INDCOA_00,FTE-INDCOA_00_NRGO,-,INDCOA
BASE,NI,IND,FTE-INDDSL_00,FTE-INDDSL_00_NRGI,-,DID
BASE,NI,IND,FTE-INDDSL_00,FTE-INDDSL_00_NRGI,-,DSL
BASE,NI,IND,FTE-INDDSL_00,FTE-INDDSL_00_NRGO,-,INDDSL
BASE,NI,IND,FTE-INDFOL_00,FTE-INDFOL_00_NRGI,-,FOL
BASE,NI,IND,FTE-INDFOL_00,FTE-INDFOL_00_NRGO,-,INDFOL
BASE,NI,IND,FTE-INDGEO_00,FTE-INDGEO_00_NRGI,-,GEO
BASE,NI,IND,FTE-INDGEO_00,FTE-INDGEO_00_NRGO,-,INDGEO
BASE,NI,IND,FTE-INDLPG_00,FTE-INDLPG_00_NRGI,-,LPG
BASE,NI,IND,FTE-INDLPG_00,FTE-INDLPG_00_NRGO,-,INDLPG
BASE,NI,IND,FTE-INDNGA_00,FTE-INDNGA_00_NRGI,-,NGA
BASE,NI,IND,FTE-INDNGA_00,FTE-INDNGA_00_NRGO,-,INDNGA
BASE,NI,IND,FTE-INDPET_00,FTE-INDPET_00_NRGI,-,PET
BASE,NI,IND,FTE-INDPET_00,FTE-INDPET_00_NRGO,-,INDPET
BASE,NI,IND,FTE-INDWOD_00,FTE-INDWOD_00_NRGI,-,WOD
BASE,NI,IND,FTE-INDWOD_00,FTE-INDWOD_00_NRGO,-,INDWOD
BASE,NI,IND,IIS-FDSTCK-COA-_15,IIS-FDSTCK-COA-_15_DEMO,-,IIS-FDSTCK
BASE,NI,IND,IIS-FDSTCK-COA-_15,IIS-FDSTCK-COA-_15_NRGI,-,COA
BASE,NI,IND,IIS-MoTP-Stat-ELC-Mtr15,IIS-MoTP-Stat-ELC-Mtr15_DEMO,-,IIS-MoTP-Stat
BASE,NI,IND,IIS-MoTP-Stat-ELC-Mtr15,IIS-MoTP-Stat-ELC-Mtr15_NRGI,-,INDELC
